UUID,ID,Reference ID,Internal Name,Buyer Facing Name,Address,Resolution,Format,Orientation,LatLong
25e5cbd5-8b5f-4776-a3a6-8987bdb81e53,129099,130812,STREET 130812 130813 RÃ¥dhusgatan 4/Storgatan vid parkering Digital Adshel Street Halmstad SE-RO-HLM-P001_130812,SE-RO-HLM-P001 130812,"RÃ¥dhusgatan 4, 302 43 Halmstad, Sweden",1080x1920,,Portrait,56.672495/12.857562
20dd4fc9-49ca-41a2-8a4a-a4b0e7e70f11,129537,130813,STREET 130812 130813 RÃ¥dhusgatan 4/Storgatan vid parkering Digital Adshel Street Halmstad SE-RO-HLM-P001_130813,SE-RO-HLM-P001 130813,"RÃ¥dhusgatan 4, 302 43 Halmstad, Sweden",1080x1920,,Portrait,56.672495/12.857562
eb9e5def-d657-4bd2-852f-bb000d6ee054,165591,151902,STREET 151902 151903 HÃ¶gskolan i Halmstad vid HÃ¶gskolebiblioteket Digital Adshel Street Halmstad SE-RO-HLM-P003_151902,SE-RO-HLM-P003_151902,"Kristian IV:s vÃ¤g 3, 301 18 Halmstad, Sweden",1080x1920,,Portrait,56.665049/12.878476
7994a609-d48b-4a19-9bfd-208d3f41b020,165592,151903,STREET 151902 151903 HÃ¶gskolan i Halmstad vid HÃ¶gskolebiblioteket Digital Adshel Street Halmstad SE-RO-HLM-P003_151903,SE-RO-HLM-P003_151903,"Kristian IV:s vÃ¤g 3, 301 18 Halmstad, Sweden",1080x1920,,Portrait,56.665049/12.878476
6e7ad4cf-cb11-4781-a726-7d6286e49833,165593,151904,STREET 151904 151905 Lilla torg  Digital Adshel Street Halmstad SE-RO-HLM-P005_151904,SE-RO-HLM-P005_151904,"Lilla torg, Nyatorp-GustavsfÃ¤lt, Halmstad, Sweden",1080x1920,,Portrait,56.67626/12.857455
9587ad5e-efb1-4e0c-8451-91fb566a031a,165594,151905,STREET 151904 151905 Lilla torg  Digital Adshel Street Halmstad SE-RO-HLM-P005_151905,SE-RO-HLM-P005_151905,"Lilla torg, Nyatorp-GustavsfÃ¤lt, Halmstad, Sweden",1080x1920,,Portrait,56.67626/12.857455
1f489651-ee40-422d-b404-f9cb48b24355,165595,151906,STREET 151906 151907 Hamngatan 27  Digital Adshel Street Halmstad SE-RO-HLM-P007_151906,SE-RO-HLM-P007_151906,"Hamngatan 27, 302 43 Halmstad, Sweden",1080x1920,,Portrait,56.674889/12.859715
888814ec-f1f3-445e-abcc-2dbc619bfbf1,165596,151907,STREET 151906 151907 Hamngatan 27  Digital Adshel Street Halmstad SE-RO-HLM-P007_151907,SE-RO-HLM-P007_151907,"Hamngatan 27, 302 43 Halmstad, Sweden",1080x1920,,Portrait,56.674889/12.859715
a9aa486e-a64e-4843-ae87-59beb70856df,165597,151908,STREET 151908 151909 KÃ¶pmansgatan - Stora torg  Digital Adshel Street Halmstad SE-RO-HLM-P009_151908,SE-RO-HLM-P009_151908,"Stora TORG 1, 302 42 Halmstad, Sweden",1080x1920,,Portrait,56.674139/12.85665
0f4085c2-b1fd-4b31-a296-e67e8baf3676,165598,151909,STREET 151908 151909 KÃ¶pmansgatan - Stora torg  Digital Adshel Street Halmstad SE-RO-HLM-P009_151909,SE-RO-HLM-P009_151909,"Stora TORG 1, 302 42 Halmstad, Sweden",1080x1920,,Portrait,56.674139/12.85665
